"X","slug","num","lat","id","name","latest","num_maintainers","modified","created","license","readme","revisions","downloads","num_badges","stars","active_age","age","dependents","pr_makers","size","forks","contributors","num_prs","num_issues","commits","all_downloads","yearly_downloads","num_tools","dependencies","ght_age","hasBadge","hasQABadge","hasCovBadge","hasCIBadge","hasDepMgrBadge","hasInfoBadge","hasPopularityBadge","hasSupportBadge","hasOther"
23,"6to5/6to5",95,14,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
24,"6to5/6to5",95,431,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
25,"6to5/6to5",95,42,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
26,"6to5/6to5",95,8,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
27,"6to5/6to5",95,7,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
28,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
29,"6to5/6to5",95,725,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
30,"6to5/6to5",95,868,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
31,"6to5/6to5",95,10,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
32,"6to5/6to5",95,18,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
33,"6to5/6to5",95,9,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
34,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
35,"6to5/6to5",95,20,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
36,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
37,"6to5/6to5",95,30,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
38,"6to5/6to5",95,191,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
39,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
40,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
41,"6to5/6to5",95,613,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
42,"6to5/6to5",95,225,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
43,"6to5/6to5",95,103,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
44,"6to5/6to5",95,6,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
